序號,河川名稱,河川代碼,階層,上游河川,主流水系
,南清水溝溪,1510A0,2,濁水溪,濁水溪
,塔羅灣溪,1510B0,2,濁水溪,濁水溪
52.0,新虎尾溪,152000,1,,新虎尾溪
53.0,舊虎尾溪,153000,1,,舊虎尾溪
54.0,北港溪,154000,1,,北港溪
,虎尾溪,154010,2,北港溪,北港溪
,石榴班溪,154011,3,虎尾溪,北港溪
,石仔坑溪,15401D,4,石榴班溪,北港溪
,內林溪,15401A,4,石榴班溪,北港溪
,牛埔溪,15401B,4,石榴班溪,北港溪
,大埔溪,154012,3,虎尾溪,北港溪
,海豐崙溪,154013,3,虎尾溪,北港溪
,雲林溪,154015,3,虎尾溪,北港溪
,芭蕉溪,15401C,4,雲林溪,北港溪
,三疊溪,154020,2,北港溪,北港溪
,九芎坑溪,154021,3,三疊溪,北港溪
,石龜溪,154022,3,三疊溪,北港溪
,興安排水,154023,3,三疊溪,北港溪
,興安中排四,15402A,4,興安排水,北港溪
,葉子寮溪,154024,3,三疊溪,北港溪
,大湖口溪,154030,2,北港溪,北港溪
,石牛溪,154040,2,北港溪,北港溪
,崙子溪,154041,3,石牛溪,北港溪
55.0,朴子溪,155000,1,,朴子溪
,牛稠溪,155010,2,朴子溪,朴子溪
,阿拔泉溪,155020,2,朴子溪,朴子溪
,崎腳溪,155030,2,朴子溪,朴子溪
,白樹腳溪,155040,2,朴子溪,朴子溪
,東廣寮溪,155041,3,白樹腳溪,朴子溪
,濁水溪,155050,2,朴子溪,朴子溪
,番子路科溪,155051,3,濁水溪,朴子溪
,清水溪,155052,3,濁水溪,朴子溪
,頂埔溪,15505A,4,清水溪,朴子溪
,獅子頭溪,155060,2,朴子溪,朴子溪
,嘉義排水,155070,2,朴子溪,朴子溪
,麻魚寮排水,155080,2,朴子溪,朴子溪
,埤麻腳排水,155081,3,麻魚寮排水,朴子溪
56.0,內田排水排水路(鹿草溪),156000,1,,內田排水排水路(鹿草溪)
57.0,龍宮溪,157000,1,,龍宮溪
58.0,八掌溪,158000,1,,八掌溪
,赤蘭溪,158010,2,八掌溪,八掌溪
,澐水溪,158011,3,赤蘭溪,八掌溪
,石硦溪,15801A,4,澐水溪,八掌溪
,頭前溪,158020,2,八掌溪,八掌溪
,牛稠埔坑溪,158021,3,頭前溪,八掌溪
,湖子內排水(在來排水),158030,2,八掌溪,八掌溪
,後庄排水(隆恩排水),158040,2,八掌溪,八掌溪
59.0,急水溪,159000,1,,急水溪
,龜重溪,159010,2,急水溪,急水溪
,鹿寮溪,159011,3,龜重溪,急水溪
,茄苳溪,159012,3,龜重溪,急水溪
,白水溪,159020,2,急水溪,急水溪
,仙草埔溪,159021,3,白水溪,急水溪
,六重溪,159030,2,急水溪,急水溪
60.0,將軍溪排水(將軍溪),160000,1,,將軍溪排水(將軍溪)
61.0,劉厝排水(七股溪),161000,1,,劉厝排水(七股溪)
,大塭寮排水(三股溪),161010,2,劉厝排水(七股溪),劉厝排水(七股溪)
63.0,曾文溪,163000,1,,曾文溪
,後堀溪,163010,2,曾文溪,曾文溪
,菜寮溪,163020,2,曾文溪,曾文溪
,密枝溪,163030,2,曾文溪,曾文溪
,油車溪,163040,2,曾文溪,曾文溪
,灣丘溪,163041,3,油車溪,曾文溪
,後旦溪,163050,2,曾文溪,曾文溪
,官田溪,163060,2,曾文溪,曾文溪
64.0,鹿耳門溪(鹿耳門排水),164000,1,,鹿耳門溪(鹿耳門排水)
,學甲寮中排,164010,2,鹿耳門溪(鹿耳門排水),鹿耳門溪(鹿耳門排水)
,溪南寮排水,164020,2,鹿耳門溪(鹿耳門排水),鹿耳門溪(鹿耳門排水)
,溪筏港之一排水,164030,2,鹿耳門溪(鹿耳門排水),鹿耳門溪(鹿耳門排水)
